Table Migration report: 16 Oct 2025,,,,,,,,,,,,,,,,,,,,,
================================,,,,,,,,,,,,,,,,,,,,,
Table,Before,After,Action,,,,,,,,,,,,,,,,,,
,PreferedAgent,INT,No,No,--/--,PreferedAgentID,INT,FK (PeopleTbl),No,No,n/a,Rename,PreferedAgent,,,,,,,,
,SalesAgentID,INT,No,No,--/--,SalesAgentID,INT,FK (PeopleTbl),No,No,n/a,Copy,SalesAgentID,,,,,,,,
,MachineSN,NVARCHAR(50),No,No,--/--,MachineSN,NVARCHAR(50),No,No,No,n/a,Copy,MachineSN,,,,,,,,
,UsesFilter,BIT,No,No,--/--,UsesFilter,BIT,No,No,No,n/a,Copy,UsesFilter,,,,,,,,
,autofulfill,BIT,No,No,--/--,autofulfill,BIT,No,No,No,n/a,Copy,autofulfill,,,,,,,,
,enabled,BIT,No,No,--/--,enabled,BIT,No,No,No,n/a,Copy,enabled,,,,,,,,
,PredictionDisabled,BIT,No,No,--/--,PredictionDisabled,BIT,No,No,No,n/a,Copy,PredictionDisabled,,,,,,,,
,AlwaysSendChkUp,BIT,No,No,--/--,AlwaysSendChkUp,BIT,No,No,No,n/a,Copy,AlwaysSendChkUp,,,,,,,,
,NormallyResponds,BIT,No,No,--/--,NormallyResponds,BIT,No,No,No,n/a,Copy,NormallyResponds,,,,,,,,
,ReminderCount,INT,No,No,--/--,ReminderCount,INT,No,No,No,n/a,Copy,ReminderCount,,,,,,,,
,Notes,NVARCHAR(536870910),No,No,--/--,Notes,NVARCHAR(536870910),No,No,No,n/a,Copy,Notes,,,,,,,,
,SendDeliveryConfirmation,BIT,No,No,--/--,SendDeliveryConfirmation,BIT,No,No,No,n/a,Copy,SendDeliveryConfirmation,,,,,,,,
,LastDateSentReminder,DATETIME,No,No,--/--,LastDateSentReminder,DATETIME,No,No,No,n/a,Copy,LastDateSentReminder,,,,,,,,
-------------------------------/-------------------------------,,,,,,,,,,,,,,,,,,,,,
Table,Before,After,Action,,,,,,,,,,,,,,,,,,
,CustomerTrackedServiceItemsTbl,ContactTrackedServiceItemsTbl,Rename,,,,,,,,,,,,,,,,,,
Rows:,Before Col name,Before Type,Before Key,Before Auto,--/--,After Col Name,After Type,After Key,After Auto,After NotNull,Presserve ID,Action,Source Col,,,,,,,,
,CustomerTrackedServiceItemsID,INT,No,No,--/--,ContactTrackedServiceItemsID,INT,PK,Yes,No,n/a,Rename,CustomerTrackedServiceItemsID,,,,,,,,
,CustomerTypeID,INT,No,No,--/--,ContactTypeID,INT,FK (ContactsTbl),No,No,n/a,Rename,CustomerTypeID,,,,,,,,
,ServiceTypeID,INT,No,No,--/--,ItemServiceTypeID,INT,FK (ItemServiceTypesTbl),No,No,n/a,Rename,ServiceTypeID,,,,,,,,
,Notes,NVARCHAR(536870910),No,No,--/--,Notes,NVARCHAR(536870910),No,No,No,n/a,Copy,Notes,,,,,,,,
-------------------------------/-------------------------------,,,,,,,,,,,,,,,,,,,,,
Table,Before,After,Action,,,,,,,,,,,,,,,,,,
,CustomerTypeTbl,ContactTypesTbl,Rename,,,,,,,,,,,,,,,,,,
Rows:,Before Col name,Before Type,Before Key,Before Auto,--/--,After Col Name,After Type,After Key,After Auto,After NotNull,Presserve ID,Action,Source Col,,,,,,,,
,CustTypeID,INT,No,No,--/--,ContactTypeID,INT,PK,Yes,No,n/a,Rename,CustTypeID,,,,,,,,
,CustTypeDesc,NVARCHAR(50),No,No,--/--,ContactTypeDesc,NVARCHAR(50),No,No,No,n/a,Rename,CustTypeDesc,,,,,,,,
,Notes,NVARCHAR(536870910),No,No,--/--,Notes,NVARCHAR(536870910),No,No,No,n/a,Copy,Notes,,,,,,,,
-------------------------------/-------------------------------,,,,,,,,,,,,,,,,,,,,,
Table,Before,After,Action,,,,,,,,,,,,,,,,,,
,EquipTypeTbl,EquipTypesTbl,Rename,,,,,,,,,,,,,,,,,,
Rows:,Before Col name,Before Type,Before Key,Before Auto,--/--,After Col Name,After Type,After Key,After Auto,After NotNull,Presserve ID,Action,Source Col,,,,,,,,
,EquipTypeId,INT,No,No,--/--,EquipTypeID,INT,PK,Yes,No,n/a,Rename,EquipTypeId,,,,,,,,
,EquipTypeName,NVARCHAR(50),No,No,--/--,EquipTypeName,NVARCHAR(50),No,No,No,n/a,Copy,EquipTypeName,,,,,,,,
,EquipTypeDesc,NVARCHAR(50),No,No,--/--,EquipTypeDesc,NVARCHAR(50),No,No,No,n/a,Copy,EquipTypeDesc,,,,,,,,
-------------------------------/-------------------------------,,,,,,,,,,,,,,,,,,,,,
Table,Before,After,Action,,,,,,,,,,,,,,,,,,
,HolidayClosureTbl,HolidayClosureTbl,Copy,,,,,,,,,,,,,,,,,,
Rows:,Before Col name,Before Type,Before Key,Before Auto,--/--,After Col Name,After Type,After Key,After Auto,After NotNull,Presserve ID,Action,Source Col,,,,,,,,
,ID,INT,No,No,--/--,HolidayClosureID,INT,PK,Yes,No,n/a,Copy,ID,,,,,,,,
,ClosureDate,DATETIME,No,No,--/--,ClosureDate,DATETIME,No,No,No,n/a,Copy,ClosureDate,,,,,,,,
,DaysClosed,INT,No,No,--/--,DaysClosed,INT,No,No,No,n/a,Copy,DaysClosed,,,,,,,,
,AppliesToPrep,BIT,No,No,--/--,AppliesToPrep,BIT,No,No,No,n/a,Copy,AppliesToPrep,,,,,,,,
,AppliesToDelivery,BIT,No,No,--/--,AppliesToDelivery,BIT,No,No,No,n/a,Copy,AppliesToDelivery,,,,,,,,
,ShiftStrategy,NVARCHAR(20),No,No,--/--,ShiftStrategy,NVARCHAR(20),No,No,No,n/a,Copy,ShiftStrategy,,,,,,,,
,Description,NVARCHAR(255),No,No,--/--,Description,NVARCHAR(255),No,No,No,n/a,Copy,Description,,,,,,,,
-------------------------------/-------------------------------,,,,,,,,,,,,,,,,,,,,,
Table,Before,After,Action,,,,,,,,,,,,,,,,,,
,InvoiceTypeTbl,InvoiceTypesTbl,Rename,,,,,,,,,,,,,,,,,,
Rows:,Before Col name,Before Type,Before Key,Before Auto,--/--,After Col Name,After Type,After Key,After Auto,After NotNull,Presserve ID,Action,Source Col,,,,,,,,
,InvoiceTypeID,INT,No,No,--/--,InvoiceTypeID,INT,PK,Yes,No,n/a,Copy,InvoiceTypeID,,,,,,,,
,InvoiceTypeDesc,NVARCHAR(20),No,No,--/--,InvoiceTypeDesc,NVARCHAR(20),No,No,No,n/a,Copy,InvoiceTypeDesc,,,,,,,,
,Enabled,BIT,No,No,--/--,Enabled,BIT,No,No,No,n/a,Copy,Enabled,,,,,,,,
